"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2016",1.345214,
"AUS","EXCH","TOT","NATUSD","A","2017",1.304758,
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUS","EXCH","TOT","NATUSD","A","2020",1.453085,
"AUT","EXCH","TOT","NATUSD","A","2016",0.903421,
"AUT","EXCH","TOT","NATUSD","A","2017",0.885206,
"AUT","EXCH","TOT","NATUSD","A","2018",0.846773,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"AUT","EXCH","TOT","NATUSD","A","2020",0.875506,
"BEL","EXCH","TOT","NATUSD","A","2016",0.903421,
"BEL","EXCH","TOT","NATUSD","A","2017",0.885206,
"BEL","EXCH","TOT","NATUSD","A","2018",0.846773,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2020",0.875506,
"CAN","EXCH","TOT","NATUSD","A","2016",1.325615,
"CAN","EXCH","TOT","NATUSD","A","2017",1.297936,
"CAN","EXCH","TOT","NATUSD","A","2018",1.295818,
"CAN","EXCH","TOT","NATUSD","A","2019",1.326793,
"CAN","EXCH","TOT","NATUSD","A","2020",1.341153,
"CZE","EXCH","TOT","NATUSD","A","2016",24.439917,
"CZE","EXCH","TOT","NATUSD","A","2017",23.376333,
"CZE","EXCH","TOT","NATUSD","A","2018",21.729917,
"CZE","EXCH","TOT","NATUSD","A","2019",22.93225,
"CZE","EXCH","TOT","NATUSD","A","2020",23.21025,
"DNK","EXCH","TOT","NATUSD","A","2016",6.731718,
"DNK","EXCH","TOT","NATUSD","A","2017",6.602893,
"DNK","EXCH","TOT","NATUSD","A","2018",6.314619,
"DNK","EXCH","TOT","NATUSD","A","2019",6.669447,
"DNK","EXCH","TOT","NATUSD","A","2020",6.542152,
"FIN","EXCH","TOT","NATUSD","A","2016",0.903421,
"FIN","EXCH","TOT","NATUSD","A","2017",0.885206,
"FIN","EXCH","TOT","NATUSD","A","2018",0.846773,
"FIN","EXCH","TOT","NATUSD","A","2019",0.893276,
"FIN","EXCH","TOT","NATUSD","A","2020",0.875506,
"FRA","EXCH","TOT","NATUSD","A","2016",0.903421,
"FRA","EXCH","TOT","NATUSD","A","2017",0.885206,
"FRA","EXCH","TOT","NATUSD","A","2018",0.846773,
"FRA","EXCH","TOT","NATUSD","A","2019",0.893276,
"FRA","EXCH","TOT","NATUSD","A","2020",0.875506,
"DEU","EXCH","TOT","NATUSD","A","2016",0.903421,
"DEU","EXCH","TOT","NATUSD","A","2017",0.885206,
"DEU","EXCH","TOT","NATUSD","A","2018",0.846773,
"DEU","EXCH","TOT","NATUSD","A","2019",0.893276,
"DEU","EXCH","TOT","NATUSD","A","2020",0.875506,
"GRC","EXCH","TOT","NATUSD","A","2016",0.903421,
"GRC","EXCH","TOT","NATUSD","A","2017",0.885206,
"GRC","EXCH","TOT","NATUSD","A","2018",0.846773,
"GRC","EXCH","TOT","NATUSD","A","2019",0.893276,
"GRC","EXCH","TOT","NATUSD","A","2020",0.875506,
"HUN","EXCH","TOT","NATUSD","A","2016",281.523333,
"HUN","EXCH","TOT","NATUSD","A","2017",274.433333,
"HUN","EXCH","TOT","NATUSD","A","2018",270.211667,
"HUN","EXCH","TOT","NATUSD","A","2019",290.66,
"HUN","EXCH","TOT","NATUSD","A","2020",307.996667,
"ISL","EXCH","TOT","NATUSD","A","2016",120.811548,
"ISL","EXCH","TOT","NATUSD","A","2017",106.839572,
"ISL","EXCH","TOT","NATUSD","A","2018",108.300176,
"ISL","EXCH","TOT","NATUSD","A","2019",122.606774,
"ISL","EXCH","TOT","NATUSD","A","2020",135.421712,
"IRL","EXCH","TOT","NATUSD","A","2016",0.903421,
"IRL","EXCH","TOT","NATUSD","A","2017",0.885206,
"IRL","EXCH","TOT","NATUSD","A","2018",0.846773,
"IRL","EXCH","TOT","NATUSD","A","2019",0.893276,
"IRL","EXCH","TOT","NATUSD","A","2020",0.875506,
"ITA","EXCH","TOT","NATUSD","A","2016",0.903421,
"ITA","EXCH","TOT","NATUSD","A","2017",0.885206,
"ITA","EXCH","TOT","NATUSD","A","2018",0.846773,
"ITA","EXCH","TOT","NATUSD","A","2019",0.893276,
"ITA","EXCH","TOT","NATUSD","A","2020",0.875506,
"JPN","EXCH","TOT","NATUSD","A","2016",108.7929,
"JPN","EXCH","TOT","NATUSD","A","2017",112.166141,
"JPN","EXCH","TOT","NATUSD","A","2018",110.423179,
"JPN","EXCH","TOT","NATUSD","A","2019",109.009666,
"JPN","EXCH","TOT","NATUSD","A","2020",106.774582,
"KOR","EXCH","TOT","NATUSD","A","2016",1160.7675,
"KOR","EXCH","TOT","NATUSD","A","2017",1131.000833,
"KOR","EXCH","TOT","NATUSD","A","2018",1100.163333,
"KOR","EXCH","TOT","NATUSD","A","2019",1165.3575,
