"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2016",1.450156,
"AUS","PPP","TOT","NATUSD","A","2017",1.477553,
"AUS","PPP","TOT","NATUSD","A","2018",1.472427,
"AUS","PPP","TOT","NATUSD","A","2019",1.474643,
"AUS","PPP","TOT","NATUSD","A","2020",1.461587,
"AUT","PPP","TOT","NATUSD","A","2016",0.776931,
"AUT","PPP","TOT","NATUSD","A","2017",0.775009,
"AUT","PPP","TOT","NATUSD","A","2018",0.764069,
"AUT","PPP","TOT","NATUSD","A","2019",0.763387,
"AUT","PPP","TOT","NATUSD","A","2020",0.759962,
"BEL","PPP","TOT","NATUSD","A","2016",0.781011,
"BEL","PPP","TOT","NATUSD","A","2017",0.775634,
"BEL","PPP","TOT","NATUSD","A","2018",0.765017,
"BEL","PPP","TOT","NATUSD","A","2019",0.757838,
"BEL","PPP","TOT","NATUSD","A","2020",0.754025,
"CAN","PPP","TOT","NATUSD","A","2016",1.207045,
"CAN","PPP","TOT","NATUSD","A","2017",1.212304,
"CAN","PPP","TOT","NATUSD","A","2018",1.198165,
"CAN","PPP","TOT","NATUSD","A","2019",1.213289,
"CAN","PPP","TOT","NATUSD","A","2020",1.198088,
"CZE","PPP","TOT","NATUSD","A","2016",12.576343,
"CZE","PPP","TOT","NATUSD","A","2017",12.424986,
"CZE","PPP","TOT","NATUSD","A","2018",12.37195,
"CZE","PPP","TOT","NATUSD","A","2019",12.526003,
"CZE","PPP","TOT","NATUSD","A","2020",12.843495,
"DNK","PPP","TOT","NATUSD","A","2016",7.079856,
"DNK","PPP","TOT","NATUSD","A","2017",6.871679,
"DNK","PPP","TOT","NATUSD","A","2018",6.7691,
"DNK","PPP","TOT","NATUSD","A","2019",6.655992,
"DNK","PPP","TOT","NATUSD","A","2020",6.66035,
"FIN","PPP","TOT","NATUSD","A","2016",0.880895,
"FIN","PPP","TOT","NATUSD","A","2017",0.863657,
"FIN","PPP","TOT","NATUSD","A","2018",0.851582,
"FIN","PPP","TOT","NATUSD","A","2019",0.843984,
"FIN","PPP","TOT","NATUSD","A","2020",0.854588,
"FRA","PPP","TOT","NATUSD","A","2016",0.780044,
"FRA","PPP","TOT","NATUSD","A","2017",0.770109,
"FRA","PPP","TOT","NATUSD","A","2018",0.755451,
"FRA","PPP","TOT","NATUSD","A","2019",0.730512,
"FRA","PPP","TOT","NATUSD","A","2020",0.740525,
"DEU","PPP","TOT","NATUSD","A","2016",0.752608,
"DEU","PPP","TOT","NATUSD","A","2017",0.744783,
"DEU","PPP","TOT","NATUSD","A","2018",0.736689,
"DEU","PPP","TOT","NATUSD","A","2019",0.742663,
"DEU","PPP","TOT","NATUSD","A","2020",0.744679,
"GRC","PPP","TOT","NATUSD","A","2016",0.58858,
"GRC","PPP","TOT","NATUSD","A","2017",0.575041,
"GRC","PPP","TOT","NATUSD","A","2018",0.564183,
"GRC","PPP","TOT","NATUSD","A","2019",0.554176,
"GRC","PPP","TOT","NATUSD","A","2020",0.545546,
"HUN","PPP","TOT","NATUSD","A","2016",132.033797,
"HUN","PPP","TOT","NATUSD","A","2017",136.036522,
"HUN","PPP","TOT","NATUSD","A","2018",139.311557,
"HUN","PPP","TOT","NATUSD","A","2019",143.232115,
"HUN","PPP","TOT","NATUSD","A","2020",145.659085,
"ISL","PPP","TOT","NATUSD","A","2016",140.02995,
"ISL","PPP","TOT","NATUSD","A","2017",138.277175,
"ISL","PPP","TOT","NATUSD","A","2018",138.296417,
"ISL","PPP","TOT","NATUSD","A","2019",140.567255,
"ISL","PPP","TOT","NATUSD","A","2020",144.108968,
"IRL","PPP","TOT","NATUSD","A","2016",0.794289,
"IRL","PPP","TOT","NATUSD","A","2017",0.794405,
"IRL","PPP","TOT","NATUSD","A","2018",0.791185,
"IRL","PPP","TOT","NATUSD","A","2019",0.806851,
"IRL","PPP","TOT","NATUSD","A","2020",0.816018,
"ITA","PPP","TOT","NATUSD","A","2016",0.700544,
"ITA","PPP","TOT","NATUSD","A","2017",0.689895,
"ITA","PPP","TOT","NATUSD","A","2018",0.679906,
"ITA","PPP","TOT","NATUSD","A","2019",0.668535,
"ITA","PPP","TOT","NATUSD","A","2020",0.669014,
"JPN","PPP","TOT","NATUSD","A","2016",105.519502,
"JPN","PPP","TOT","NATUSD","A","2017",105.101901,
"JPN","PPP","TOT","NATUSD","A","2018",103.706485,
"JPN","PPP","TOT","NATUSD","A","2019",103.625494,
"JPN","PPP","TOT","NATUSD","A","2020",103.412076,
"KOR","PPP","TOT","NATUSD","A","2016",858.809687,
"KOR","PPP","TOT","NATUSD","A","2017",872.624771,
"KOR","PPP","TOT","NATUSD","A","2018",865.721604,
"KOR","PPP","TOT","NATUSD","A","2019",868.570306,
"KOR","PPP","TOT","NATUSD","A","2020",869.063949,
"LUX","PPP","TOT","NATUSD","A","2016",0.851894,
"LUX","PPP","TOT","NATUSD","A","2017",0.84831,
"LUX","PPP","TOT","NATUSD","A","2018",0.846841,
"LUX","PPP","TOT","NATUSD","A","2019",0.846922,
"LUX","PPP","TOT","NATUSD","A","2020",0.864174,
"MEX","PPP","TOT","NATUSD","A","2016",8.446043,
"MEX","PPP","TOT","NATUSD","A","2017",8.913552,
"MEX","PPP","TOT","NATUSD","A","2018",9.201885,
"MEX","PPP","TOT","NATUSD","A","2019",9.369987,
"MEX","PPP","TOT","NATUSD","A","2020",9.505202,
"NLD","PPP","TOT","NATUSD","A","2016",0.795448,
"NLD","PPP","TOT","NATUSD","A","2017",0.78215,
"NLD","PPP","TOT","NATUSD","A","2018",0.775748,
"NLD","PPP","TOT","NATUSD","A","2019",0.785516,
"NLD","PPP","TOT","NATUSD","A","2020",0.794891,
"NZL","PPP","TOT","NATUSD","A","2016",1.441008,
"NZL","PPP","TOT","NATUSD","A","2017",1.430959,
"NZL","PPP","TOT","NATUSD","A","2018",1.424703,
"NZL","PPP","TOT","NATUSD","A","2019",1.439815,
"NZL","PPP","TOT","NATUSD","A","2020",1.45911,
"NOR","PPP","TOT","NATUSD","A","2016",10.0419,
"NOR","PPP","TOT","NATUSD","A","2017",9.74983,
"NOR","PPP","TOT","NATUSD","A","2018",9.597451,
"NOR","PPP","TOT","NATUSD","A","2019",9.763243,
"NOR","PPP","TOT","NATUSD","A","2020",9.30294,
"POL","PPP","TOT","NATUSD","A","2016",1.732843,
"POL","PPP","TOT","NATUSD","A","2017",1.742879,
"POL","PPP","TOT","NATUSD","A","2018",1.747032,
"POL","PPP","TOT","NATUSD","A","2019",1.764428,
"POL","PPP","TOT","NATUSD","A","2020",1.811159,
"PRT","PPP","TOT","NATUSD","A","2016",0.571416,
"PRT","PPP","TOT","NATUSD","A","2017",0.575688,
"PRT","PPP","TOT","NATUSD","A","2018",0.571174,
"PRT","PPP","TOT","NATUSD","A","2019",0.564103,
"PRT","PPP","TOT","NATUSD","A","2020",0.574206,
"SVK","PPP","TOT","NATUSD","A","2016",0.503194,
"SVK","PPP","TOT","NATUSD","A","2017",0.516433,
"SVK","PPP","TOT","NATUSD","A","2018",0.520724,
"SVK","PPP","TOT","NATUSD","A","2019",0.528803,
"SVK","PPP","TOT","NATUSD","A","2020",0.53323,
"ESP","PPP","TOT","NATUSD","A","2016",0.642644,
"ESP","PPP","TOT","NATUSD","A","2017",0.630839,
"ESP","PPP","TOT","NATUSD","A","2018",0.631944,
"ESP","PPP","TOT","NATUSD","A","2019",0.626031,
"ESP","PPP","TOT","NATUSD","A","2020",0.624484,
"SWE","PPP","TOT","NATUSD","A","2016",8.822586,
"SWE","PPP","TOT","NATUSD","A","2017",8.852247,
"SWE","PPP","TOT","NATUSD","A","2018",8.860636,
"SWE","PPP","TOT","NATUSD","A","2019",8.877487,
"SWE","PPP","TOT","NATUSD","A","2020",8.902761,
"CHE","PPP","TOT","NATUSD","A","2016",1.201964,
"CHE","PPP","TOT","NATUSD","A","2017",1.187726,
"CHE","PPP","TOT","NATUSD","A","2018",1.17868,
"CHE","PPP","TOT","NATUSD","A","2019",1.159406,
"CHE","PPP","TOT","NATUSD","A","2020",1.143836,
"TUR","PPP","TOT","NATUSD","A","2016",1.241052,
"TUR","PPP","TOT","NATUSD","A","2017",1.38398,
"TUR","PPP","TOT","NATUSD","A","2018",1.633464,
"TUR","PPP","TOT","NATUSD","A","2019",1.895514,
"TUR","PPP","TOT","NATUSD","A","2020",2.113114,
"GBR","PPP","TOT","NATUSD","A","2016",0.688603,
"GBR","PPP","TOT","NATUSD","A","2017",0.684601,
"GBR","PPP","TOT","NATUSD","A","2018",0.683551,
"GBR","PPP","TOT","NATUSD","A","2019",0.683982,
"GBR","PPP","TOT","NATUSD","A","2020",0.716264,
"USA","PPP","TOT","NATUSD","A","2016",1,
"USA","PPP","TOT","NATUSD","A","2017",1,
"USA","PPP","TOT","NATUSD","A","2018",1,
"USA","PPP","TOT","NATUSD","A","2019",1,
"USA","PPP","TOT","NATUSD","A","2020",1,
"BRA","PPP","TOT","NATUSD","A","2016",2.133082,
"BRA","PPP","TOT","NATUSD","A","2017",2.181557,
"BRA","PPP","TOT","NATUSD","A","2018",2.199647,
"BRA","PPP","TOT","NATUSD","A","2019",2.247384,
"BRA","PPP","TOT","NATUSD","A","2020",2.310954,
"CHL","PPP","TOT","NATUSD","A","2016",397.250703,
"CHL","PPP","TOT","NATUSD","A","2017",397.689401,
"CHL","PPP","TOT","NATUSD","A","2018",411.822718,
"CHL","PPP","TOT","NATUSD","A","2019",398.922802,
"CHL","PPP","TOT","NATUSD","A","2020",420.903055,
"CHN","PPP","TOT","NATUSD","A","2016",3.988837,
"CHN","PPP","TOT","NATUSD","A","2017",4.183811,
"CHN","PPP","TOT","NATUSD","A","2018",4.227258,
"CHN","PPP","TOT","NATUSD","A","2019",4.212261,
"CHN","PPP","TOT","NATUSD","A","2020",4.200808,
"COL","PPP","TOT","NATUSD","A","2016",1298.142605,
"COL","PPP","TOT","NATUSD","A","2017",1328.016627,
"COL","PPP","TOT","NATUSD","A","2018",1338.006136,
"COL","PPP","TOT","NATUSD","A","2019",1349.411552,
"COL","PPP","TOT","NATUSD","A","2020",1351.775746,
"EST","PPP","TOT","NATUSD","A","2016",0.527849,
"EST","PPP","TOT","NATUSD","A","2017",0.534908,
"EST","PPP","TOT","NATUSD","A","2018",0.540106,
"EST","PPP","TOT","NATUSD","A","2019",0.545773,
"EST","PPP","TOT","NATUSD","A","2020",0.5329,
"IND","PPP","TOT","NATUSD","A","2016",19.898727,
"IND","PPP","TOT","NATUSD","A","2017",20.647793,
"IND","PPP","TOT","NATUSD","A","2018",21.075024,
"IND","PPP","TOT","NATUSD","A","2019",21.275504,
"IND","PPP","TOT","NATUSD","A","2020",21.349532,
"IDN","PPP","TOT","NATUSD","A","2016",4518.104004,
"IDN","PPP","TOT","NATUSD","A","2017",4695.658691,
"IDN","PPP","TOT","NATUSD","A","2018",4759.089167,
"IDN","PPP","TOT","NATUSD","A","2019",4743.337447,
"IDN","PPP","TOT","NATUSD","A","2020",4671.892617,
"ISR","PPP","TOT","NATUSD","A","2016",3.788511,
"ISR","PPP","TOT","NATUSD","A","2017",3.751633,
"ISR","PPP","TOT","NATUSD","A","2018",3.711753,
"ISR","PPP","TOT","NATUSD","A","2019",3.703983,
"ISR","PPP","TOT","NATUSD","A","2020",3.686015,
"RUS","PPP","TOT","NATUSD","A","2016",24.192337,
"RUS","PPP","TOT","NATUSD","A","2017",24.124181,
"RUS","PPP","TOT","NATUSD","A","2018",24.662242,
"RUS","PPP","TOT","NATUSD","A","2019",25.500534,
"RUS","PPP","TOT","NATUSD","A","2020",24.247943,
"SVN","PPP","TOT","NATUSD","A","2016",0.577106,
"SVN","PPP","TOT","NATUSD","A","2017",0.570149,
"SVN","PPP","TOT","NATUSD","A","2018",0.568261,
